V,throttle,thrust,power
0.5,0.0,0.0,0.0
0.5,0.05,0.028377,0.030643
0.5,0.1,0.15913,0.206689
0.5,0.15,0.358375,0.620564
0.5,0.2,0.621409,1.405048
0.5,0.25,0.945827,2.681573
0.5,0.3,1.327316,4.561478
0.5,0.35,1.763979,7.144465
0.5,0.4,2.253721,10.521005
0.5,0.45,2.792019,14.803928
0.5,0.5,3.380813,20.036156
0.5,0.55,4.013657,26.337221
0.5,0.6,4.691901,33.753987
0.5,0.65,5.414872,42.338873
0.5,0.7,6.181337,52.150205
0.5,0.75,6.982787,63.327424
0.5,0.8,7.823598,75.895619
0.5,0.85,8.703354,89.861672
0.5,0.9,9.62075,105.289783
0.5,0.95,10.574855,122.226402
0.5,1.0,11.564793,140.715758
1.485714,0.0,0.0,0.0
1.485714,0.05,0.007577,0.013359
1.485714,0.1,0.088421,0.216254
1.485714,0.15,0.258403,0.8295
1.485714,0.2,0.580377,1.916245
1.485714,0.25,0.970845,3.44746
1.485714,0.3,1.433513,5.56028
1.485714,0.35,1.963071,8.389106
1.485714,0.4,2.560222,12.0659
1.485714,0.45,3.224798,16.718778
1.485714,0.5,3.953553,22.479251
1.485714,0.55,4.743422,29.478039
1.485714,0.6,5.588746,37.878935
1.485714,0.65,6.501558,47.759341
1.485714,0.7,7.477741,59.10216
1.485714,0.75,8.50094,72.351256
1.485714,0.8,9.591689,87.18757
1.485714,0.85,10.733048,104.117425
1.485714,0.9,11.92849,123.06561
1.485714,0.95,13.188415,143.873032
1.485714,1.0,14.493908,167.149925
2.471429,0.0,0.0,0.0
2.471429,0.05,0.0,0.0
2.471429,0.1,0.057603,0.172132
2.471429,0.15,0.200345,0.731471
2.471429,0.2,0.344036,1.75894
2.471429,0.25,0.719456,3.84213
2.471429,0.3,1.235839,6.665402
2.471429,0.35,1.812758,10.100616
2.471429,0.4,2.464251,14.336178
2.471429,0.45,3.188464,19.501742
2.471429,0.5,3.982714,25.723096
2.471429,0.55,4.84271,33.145662
2.471429,0.6,5.775251,41.883386
2.471429,0.65,6.772505,52.067244
2.471429,0.7,7.834804,63.855707
2.471429,0.75,8.957451,77.367808
2.471429,0.8,10.13668,92.788993
2.471429,0.85,11.399001,110.161819
2.471429,0.9,12.712013,129.551327
2.471429,0.95,14.089887,151.352339
2.471429,1.0,15.522328,175.31076
3.457143,0.0,0.0,0.0
3.457143,0.05,0.0,0.0
3.457143,0.1,0.002136,0.019685
3.457143,0.15,0.149264,0.63788
3.457143,0.2,0.357807,1.75977
3.457143,0.25,0.535936,3.365069
3.457143,0.3,0.830248,6.15035
3.457143,0.35,1.411534,10.544951
3.457143,0.4,2.112731,15.892796
3.457143,0.45,2.89938,22.075127
3.457143,0.5,3.728382,29.234628
3.457143,0.55,4.640022,37.525438
3.457143,0.6,5.624973,47.092132
3.457143,0.65,6.679813,58.064085
3.457143,0.7,7.806735,70.561877
3.457143,0.75,9.000697,84.716629
3.457143,0.8,10.259555,100.70321
3.457143,0.85,11.590639,118.608326
3.457143,0.9,12.985062,138.626272
3.457143,0.95,14.432837,160.823308
3.457143,1.0,15.959379,185.350458
4.442857,0.0,0.0,0.0
4.442857,0.05,0.0,0.0
4.442857,0.1,0.0,0.0
4.442857,0.15,0.069388,0.3656
4.442857,0.2,0.280644,1.562938
4.442857,0.25,0.551196,3.420824
4.442857,0.3,0.794927,5.837957
4.442857,0.35,1.044068,9.357866
4.442857,0.4,1.557479,14.919563
4.442857,0.45,2.334638,22.414383
4.442857,0.5,3.220552,31.084501
4.442857,0.55,4.215554,40.924977
4.442857,0.6,5.23098,51.688712
