alpha_deg,CL,CD
-10.0,-0.78999,0.03516
-9.611111,-0.759563,0.033161
-9.222222,-0.729101,0.03124
-8.833333,-0.698605,0.029394
-8.444444,-0.668077,0.027626
-8.055556,-0.637518,0.025935
-7.666667,-0.60693,0.024322
-7.277778,-0.576314,0.022787
-6.888889,-0.545671,0.021329
-6.5,-0.515004,0.019951
-6.111111,-0.484312,0.018651
-5.722222,-0.453598,0.01743
-5.333333,-0.422864,0.016288
-4.944444,-0.392109,0.015226
-4.555556,-0.361337,0.014244
-4.166667,-0.330548,0.013341
-3.777778,-0.299744,0.01242
-3.388889,-0.268926,0.011532
-3.0,-0.238096,0.010724
-2.611111,-0.207254,0.009997
-2.222222,-0.176404,0.00935
-1.833333,-0.145545,0.008911
-1.444444,-0.114679,0.008587
-1.055556,-0.083808,0.008344
-0.666667,-0.052933,0.008182
-0.277778,-0.022056,0.008101
0.111111,0.008822,0.008099
0.5,0.0397,0.008175
0.888889,0.070576,0.008332
1.277778,0.101449,0.00857
1.666667,0.132317,0.008889
2.055556,0.163179,0.009289
2.444444,0.194034,0.00977
2.833333,0.224879,0.010331
3.222222,0.255715,0.010973
3.611111,0.286538,0.011695
4.0,0.317348,0.012497
4.388889,0.348144,0.013472
4.777778,0.378923,0.014538
5.166667,0.409685,0.015684
5.555556,0.440429,0.016909
5.944444,0.471152,0.018214
6.333333,0.501853,0.019706
6.722222,0.532531,0.021341
7.111111,0.563185,0.023055
7.5,0.593812,0.024847
7.888889,0.624413,0.026717
8.277778,0.654984,0.028665
8.666667,0.685525,0.030721
9.055556,0.716035,0.032856
9.444444,0.746512,0.035068
9.833333,0.776954,0.037356
10.222222,0.807361,0.039674
10.611111,0.83773,0.041938
11.0,0.868061,0.044277
11.388889,0.898352,0.046837
11.777778,0.928601,0.049544
12.166667,0.958808,0.052365
12.555556,0.988971,0.055548
12.944444,1.019087,0.058803
13.333333,1.049157,0.061952
13.722222,1.079179,0.065076
14.111111,1.113043,0.068272
14.5,1.14746,0.07198
14.888889,1.180632,0.07593
15.277778,1.212547,0.079957
15.666667,1.24201,0.084208
16.055556,1.269736,0.088527
16.444444,1.29513,0.093069
16.833333,1.317447,0.097938
17.222222,1.309597,0.119307
17.611111,1.192828,0.193603
18.0,1.046817,0.267966
18.388889,1.039526,0.304749
18.777778,1.041575,0.339556
19.166667,1.037275,0.367471
19.555556,1.005347,0.371196
19.944444,0.980229,0.374982
20.333333,0.980229,0.378831
20.722222,0.980229,0.382742
21.111111,0.980229,0.386713
21.5,0.980229,0.390743
21.888889,0.980229,0.394833
22.277778,0.980229,0.398981
22.666667,0.980229,0.403187
23.055556,0.980229,0.40745
23.444444,0.980229,0.411768
23.833333,0.980229,0.416142
24.222222,0.980229,0.42057
24.611111,0.980229,0.425052
25.0,0.980229,0.429587
